transaction_id,merchant_name,category,amount,currency,transaction_date,status,customer_id,payment_method,merchant_city,issue_found,severity,auto_fixable
TXN100043,MobiRecharge,telecom,9259.65,INR,2026-06-02,completed,C1124,card,Chennai,,,
TXN100044,MediPharm,pharmacy,14491.62,INR,2026-06-01,failed,C1050,NEFT,Mumbai,,,
TXN100045,FreshMart,retail,7858.57,INR,2026-06-01,completed,C1185,card,Kolkata,,,
TXN100046,CafeBlend,food,3406.32,INR,2026-06-01,completed,C1194,NEFT,Pune,,,
TXN100047,PetCorner,pet,3764.42,USD,2026-06-02,failed,C1155,NEFT,Mumbai,,,
TXN100048,GroceryHub,grocery,17037.06,INR,2026/06/02,pending,C1048,netbanking,Mumbai,,,
TXN100049,FreshMart,retail,2551.65,INR,2026-06-04,failed,C1187,UPI,Mumbai,,,
TXN100050,PetCorner,pet,20179.87,USD,2026-06-01,completed,C1145,wallet,Pune,,,
TXN100051,MobiRecharge,telecom,13301.72,INR,2026-06-01,completed,C1042,wallet,Chennai,,,
TXN100052,MediPharm,pharmacy,6977.11,INR,2026-06-01,failed,C1101,UPI,Chennai,,,
TXN100053,CafeBlend,food,3024.49,INR,2026-06-01,completed,C1142,netbanking,Chennai,,,
TXN100054,FuelPlus,fuel,0,INR,2026-06-01,completed,C1090,card,Hyderabad,,,
TXN100055,SpeedPay,payments,7063.09,INR,2026-06-03,completed,C1008,wallet,Kolkata,,,
TXN100056,MediPharm,pharmacy,13472.77,INR,2026-06-02,completed,C1195,netbanking,Pune,,,
TXN100057,PetCorner,pet,9289.91,USD,2026-06-02,completed,C1134,wallet,Bengaluru,,,
TXN100058,TechZone,electronics,5409.82,INR,2026-06-03,completed,C1145,UPI,Delhi,,,
TXN100059,QuickMart,retail,12494.49,INR,2026-06-01,completed,C1033,card,Pune,,,
TXN100060,MediPharm,pharmacy,1460.62,INR,2026-06-03,completed,C1148,wallet,Mumbai,,,
TXN100061,QuickMart,retail,20526.77,INR,2026-06-01,failed,C1101,wallet,Bengaluru,,,
TXN100062,,food,12990.43,INR,2026-06-03,pending,C1033,wallet,Hyderabad,,,
TXN100063,FuelPlus,fuel,8206.3,INR,2026-06-02,completed,C1187,NEFT,Delhi,,,
TXN100064,TechZone,electronics,15774.46,INR,2026-06-01,pending,C1156,card,Kolkata,,,
TXN100065,CafeBlend,food,3065.35,INR,2026-06-02,completed,C1175,netbanking,Mumbai,,,
TXN100066,SpeedPay,payments,11406.27,INR,2026-06-01,completed,C1061,NEFT,Mumbai,,,
TXN100025,SpeedPay,payments,15545.2,INR,2026-06-04,failed,C1143,UPI,Mumbai,,,
TXN100068,MediPharm,pharmacy,7209.9,INR,2026-06-03,pending,C1048,UPI,Kolkata,,,
TXN100069,SpeedPay,payments,767.65,INR,2026-06-01,pending,C1015,netbanking,Mumbai,,,
TXN100070,HealthHub,pharmacy,1213.4,INR,2026-06-03,completed,C1068,netbanking,Bengaluru,,,
TXN100071,ByteStore,tech,11723.28,INR,2026-06-02,completed,C1029,card,Chennai,,,
TXN100072,PetCorner,pet,3233.36,USD,2026-06-03,failed,C1066,card,Delhi,,,
TXN100073,QuickMart,retail,-9120.0,INR,2026-06-01,completed,C1059,card,Hyderabad,,,
TXN100074,FuelPlus,fuel,18385.94,INR,2026-06-04,completed,C1091,netbanking,Delhi,,,
TXN100075,TechZone,electronics,11898.33,INR,2026-06-01,completed,C1007,card,Mumbai,,,
TXN100076,TechZone,electronics,7637.1,INR,2026-06-03,completed,C1165,UPI,Delhi,,,
TXN100077,FuelPlus,fuel,14505.83,INR,2026-06-01,completed,C1127,wallet,Hyderabad,,,
TXN100078,HealthHub,pharmacy,8343.51,INR,2026-06-03,completed,C1182,netbanking,Kolkata,,,
TXN100079,FuelPlus,fuel,"1,234.56",INR,2026-06-02,completed,C1008,card,Chennai,,,
TXN100080,GroceryHub,grocery,13705.71,INR,2026-06-03,completed,C1159,NEFT,Mumbai,,,
TXN100081,TechZone,electronics,9796.76,INR,2026-06-04,failed,C1004,NEFT,Pune,,,
TXN100082,MediPharm,pharmacy,1818.68,INR,2026-06-04,completed,C1188,UPI,Chennai,,,
TXN100083,AutoFix,automotive,16848.73,EUR,2026-06-04,pending,C1193,netbanking,Hyderabad,,,
TXN100084,TechZone,electronics,13356.8,INR,2026-06-01,completed,C1101,card,Bengaluru,,,
TXN100085,ByteStore,tech,20365.17,INR,2026-06-04,Completed,C1086,NEFT,Bengaluru,,,
TXN100086,FreshMart,retail,554.04,INR,2026-06-01,completed,C1104,card,Delhi,,,
TXN100087,HealthHub,pharmacy,14626.65,INR,2026-06-01,completed,C1031,netbanking,Mumbai,,,
TXN100088,TechZone,electronics,14730.73,INR,2026-06-01,completed,C1110,netbanking,Mumbai,,,
TXN100089,CloudStore,tech,3070.21,INR,2026-06-03,completed,C1180,wallet,Bengaluru,,,
TXN100090,MediPharm,pharmacy,18540.84,INR,2026-06-04,pending,C1161,UPI,Bengaluru,,,
TXN100091,MediPharm,pharmacy,9875000,INR,2026-06-03,completed,C1186,card,Kolkata,,,
TXN100092,MediPharm,pharmacy,16040.11,INR,2026-06-01,failed,C1017,netbanking,Delhi,,,
TXN100093,PetCorner,pet,2930.07,USD,2026-06-03,failed,C1123,card,Kolkata,,,
TXN100094,CloudStore,tech,16959.23,INR,2026-06-03,pending,C1064,NEFT,Chennai,,,
TXN100095,SpeedPay,payments,4153.96,INR,2026-06-03,completed,C1048,netbanking,Hyderabad,,,
TXN100096,CafeBlend,food,17667.2,INR,2026-06-02,failed,C1090,NEFT,Hyderabad,,,
TXN100097,FuelPlus,fuel,5082.27,INR,2026-12-31,completed,C1146,UPI,Chennai,,,
TXN100098,FreshMart,retail,17304.67,INR,2026-06-04,failed,C1021,UPI,Delhi,,,
TXN100099,FuelPlus,fuel,9435.59,INR,2026-06-01,completed,C1001,card,Kolkata,,,
TXN100100,HealthHub,pharmacy,2047.27,INR,2026-06-02,completed,C1049,UPI,Mumbai,,,
