transaction_id,merchant_name,category,amount,currency,transaction_date,status,customer_id,payment_method,merchant_city
TXN100543,QuickMart,retail,25351.4,INR,2026-05-12,completed,C1048,wallet,Mumbai
TXN100544,FuelPlus,fuel,22960.14,USD,2026-05-15,pending,C1011,wallet,Delhi
TXN100545,GroceryHub,grocery,5944.16,INR,2026-05-05,completed,C1083,UPI,Bengaluru
TXN100546,PetCorner,pet,20622.8,INR,2026-05-13,failed,C1000,UPI,Hyderabad
TXN100547,ByteStore,tech,31880.53,INR,2026-05-07,failed,C1026,wallet,Chennai
TXN100548,GroceryHub,grocery,41267.3,INR,2026-03-31,completed,C1058,netbanking,Hyderabad
TXN100549,ByteStore,tech,30001.56,INR,2026-05-26,completed,C1091,wallet,Bengaluru
TXN100550,FuelPlus,fuel,37968.4,USD,2026-03-31,completed,C1043,netbanking,Chennai
TXN100551,TravelEasy,travel,26104.03,INR,2026-05-31,completed,C1005,card,Delhi
TXN100552,CafeBlend,food,41093.71,EUR,2026-04-24,completed,C1032,card,Mumbai
TXN100553,FuelPlus,fuel,46511.51,USD,2026-04-22,completed,C1058,card,Chennai
TXN100554,FuelPlus,fuel,37859.9,USD,2026-03-08,completed,C1086,UPI,Delhi
TXN100555,AutoFix,automotive,32926.25,INR,2026-05-06,completed,C1063,UPI,Hyderabad
TXN100556,QuickMart,retail,27665.78,INR,2026-04-27,completed,C1074,wallet,Hyderabad
TXN100557,CafeBlend,food,34593.97,EUR,2026-03-25,completed,C1016,UPI,Delhi
TXN100558,ByteStore,tech,30311.98,INR,2026-04-13,failed,C1049,wallet,Hyderabad
TXN100559,TechZone,electronics,13687.06,INR,2026-04-15,completed,C1057,card,Mumbai
TXN100560,PetCorner,pet,30130.2,INR,2026-05-07,completed,C1089,netbanking,Hyderabad
TXN100561,TechZone,electronics,10052.45,INR,2026-05-21,completed,C1037,netbanking,Mumbai
TXN100562,CafeBlend,food,25199.63,EUR,2026-05-30,completed,C1041,UPI,Chennai
TXN100563,TravelEasy,travel,24023.69,INR,2026-05-15,completed,C1090,wallet,Hyderabad
TXN100564,MediPharm,pharmacy,43875.09,INR,2026-04-26,completed,C1001,UPI,Bengaluru
TXN100565,PetCorner,pet,7274.88,INR,2026-05-27,completed,C1025,netbanking,Mumbai
TXN100566,MediPharm,pharmacy,34172.68,INR,2026-03-21,completed,C1007,netbanking,Mumbai
TXN100567,TravelEasy,travel,1625.0,INR,2026-04-29,completed,C1078,card,Hyderabad
TXN100568,PetCorner,pet,11887.4,INR,2026-05-31,completed,C1088,UPI,Delhi
TXN100569,PetCorner,pet,20834.15,INR,2026-05-29,completed,C1070,UPI,Bengaluru
TXN100570,MediPharm,pharmacy,10162.33,INR,2026-04-28,completed,C1028,netbanking,Hyderabad
TXN100571,TravelEasy,travel,36925.12,INR,2026-03-28,completed,C1092,card,Chennai
TXN100572,AutoFix,automotive,8879.52,INR,2026-05-29,completed,C1023,card,Hyderabad
TXN100573,FuelPlus,fuel,18866.14,USD,2026-04-26,completed,C1071,netbanking,Mumbai
TXN100574,CafeBlend,food,29203.46,EUR,2026-04-04,completed,C1042,wallet,Mumbai
TXN100575,QuickMart,retail,7693.63,INR,2026-04-13,failed,C1006,netbanking,Delhi
TXN100576,ByteStore,tech,27512.51,INR,2026-03-12,completed,C1090,netbanking,Hyderabad
TXN100577,TechZone,electronics,47849.82,INR,2026-05-08,completed,C1064,card,Delhi
TXN100578,TravelEasy,travel,26856.43,INR,2026-03-14,completed,C1028,card,Chennai
TXN100579,GroceryHub,grocery,18046.28,INR,2026-03-30,completed,C1079,wallet,Hyderabad
TXN100580,QuickMart,retail,5744.95,INR,2026-04-16,pending,C1030,card,Bengaluru
TXN100581,GroceryHub,grocery,19074.82,INR,2026-03-17,pending,C1032,netbanking,Bengaluru
TXN100582,TravelEasy,travel,41107.23,INR,2026-04-19,failed,C1065,wallet,Delhi
TXN100583,QuickMart,retail,14828.73,INR,2026-05-25,completed,C1041,UPI,Bengaluru
TXN100584,CafeBlend,food,48581.72,EUR,2026-05-10,failed,C1000,UPI,Mumbai
TXN100585,TechZone,electronics,43248.89,INR,2026-04-26,completed,C1013,card,Hyderabad
TXN100586,PetCorner,pet,32331.59,INR,2026-03-12,completed,C1087,card,Bengaluru
TXN100587,AutoFix,automotive,35846.25,INR,2026-03-07,completed,C1009,UPI,Mumbai
TXN100588,MediPharm,pharmacy,27908.63,INR,2026-05-15,completed,C1029,netbanking,Delhi
TXN100589,PetCorner,pet,22561.77,INR,2026-04-23,pending,C1040,UPI,Delhi
TXN100590,FuelPlus,fuel,26746.37,USD,2026-05-24,completed,C1079,UPI,Hyderabad
TXN100591,QuickMart,retail,35047.09,INR,2026-03-12,completed,C1064,UPI,Chennai
TXN100592,MediPharm,pharmacy,30332.23,INR,2026-04-08,completed,C1056,wallet,Delhi
TXN100593,QuickMart,retail,23704.64,INR,2026-05-10,completed,C1017,wallet,Hyderabad
TXN100594,MediPharm,pharmacy,48007.11,INR,2026-03-21,completed,C1086,netbanking,Bengaluru
TXN100595,TravelEasy,travel,43739.6,INR,2026-03-21,completed,C1005,UPI,Hyderabad
TXN100596,ByteStore,tech,19710.14,INR,2026-05-12,completed,C1039,card,Chennai
TXN100597,TechZone,electronics,20638.6,INR,2026-05-24,completed,C1065,card,Mumbai
TXN100598,CafeBlend,food,11047.19,EUR,2026-04-04,completed,C1014,card,Hyderabad
TXN100599,QuickMart,retail,42570.87,INR,2026-05-12,pending,C1082,UPI,Chennai
TXN100600,FuelPlus,fuel,12541.87,USD,2026-03-28,completed,C1074,wallet,Chennai
TXN100601,GroceryHub,grocery,6419.48,INR,2026-05-25,completed,C1012,netbanking,Hyderabad
TXN100602,FuelPlus,fuel,45006.93,USD,2026-04-12,pending,C1057,netbanking,Hyderabad
TXN100603,MediPharm,pharmacy,34675.97,INR,2026-03-22,failed,C1072,netbanking,Chennai
TXN100604,PetCorner,pet,8440.29,INR,2026-04-12,completed,C1028,wallet,Chennai
TXN100605,GroceryHub,grocery,6723.95,INR,2026-04-14,pending,C1059,wallet,Chennai
TXN100606,MediPharm,pharmacy,24353.7,INR,2026-03-16,completed,C1082,UPI,Chennai
TXN100607,CafeBlend,food,44565.94,EUR,2026-03-28,completed,C1093,UPI,Bengaluru
TXN100608,QuickMart,retail,42480.87,INR,2026-05-22,completed,C1074,wallet,Hyderabad
TXN100609,TechZone,electronics,45316.12,INR,2026-05-12,completed,C1069,wallet,Mumbai
TXN100610,GroceryHub,grocery,19630.99,INR,2026-05-17,completed,C1037,card,Delhi
TXN100611,TravelEasy,travel,25525.5,INR,2026-04-22,completed,C1064,UPI,Mumbai
TXN100612,ByteStore,tech,34211.24,INR,2026-05-07,completed,C1057,card,Mumbai
TXN100613,ByteStore,tech,47436.1,INR,2026-05-26,completed,C1018,wallet,Chennai
TXN100614,QuickMart,retail,10948.77,INR,2026-05-04,completed,C1008,netbanking,Chennai
TXN100615,TechZone,electronics,2149.99,INR,2026-03-29,failed,C1046,wallet,Delhi
TXN100616,AutoFix,automotive,44078.78,INR,2026-03-08,completed,C1041,UPI,Hyderabad
TXN100617,MediPharm,pharmacy,41745.26,INR,2026-04-05,failed,C1069,card,Delhi
TXN100618,PetCorner,pet,18271.19,INR,2026-05-25,completed,C1009,netbanking,Delhi
TXN100619,TechZone,electronics,25823.43,INR,2026-04-17,completed,C1044,wallet,Delhi
TXN100620,ByteStore,tech,339.82,INR,2026-03-20,pending,C1021,card,Bengaluru
TXN100621,TravelEasy,travel,32177.42,INR,2026-03-30,completed,C1023,card,Chennai
TXN100622,ByteStore,tech,35867.96,INR,2026-03-18,completed,C1029,wallet,Chennai
TXN100623,FuelPlus,fuel,24081.02,USD,2026-05-03,pending,C1026,card,Delhi
TXN100624,QuickMart,retail,12191.08,INR,2026-03-19,failed,C1075,card,Mumbai
TXN100625,TravelEasy,travel,1969.15,INR,2026-05-15,completed,C1007,card,Chennai
TXN100626,CafeBlend,food,25836.87,EUR,2026-04-23,failed,C1072,UPI,Chennai
TXN100627,FuelPlus,fuel,10837.5,USD,2026-05-19,pending,C1061,card,Mumbai
TXN100628,PetCorner,pet,30045.93,INR,2026-05-16,completed,C1098,card,Hyderabad
TXN100629,TravelEasy,travel,13233.39,INR,2026-05-29,completed,C1058,UPI,Mumbai
TXN100630,PetCorner,pet,19279.24,INR,2026-03-16,completed,C1025,wallet,Mumbai
TXN100631,ByteStore,tech,4823.97,INR,2026-05-02,failed,C1076,UPI,Hyderabad
TXN100632,TravelEasy,travel,37621.63,INR,2026-03-14,pending,C1084,card,Hyderabad
TXN100633,TravelEasy,travel,41377.81,INR,2026-05-28,completed,C1055,wallet,Chennai
TXN100634,QuickMart,retail,34885.16,INR,2026-04-26,completed,C1061,wallet,Chennai
TXN100635,ByteStore,tech,40233.01,INR,2026-05-31,failed,C1012,wallet,Mumbai
TXN100636,MediPharm,pharmacy,23862.29,INR,2026-04-01,completed,C1010,netbanking,Hyderabad
TXN100637,TravelEasy,travel,20438.25,INR,2026-03-27,completed,C1090,UPI,Hyderabad
TXN100638,TravelEasy,travel,5900.25,INR,2026-03-03,pending,C1083,card,Chennai
TXN100639,PetCorner,pet,18119.87,INR,2026-03-22,pending,C1083,netbanking,Chennai
TXN100640,TravelEasy,travel,21183.84,INR,2026-04-18,failed,C1035,wallet,Mumbai
TXN100641,PetCorner,pet,27609.73,INR,2026-05-13,pending,C1022,netbanking,Hyderabad
TXN100642,TravelEasy,travel,24193.17,INR,2026-04-11,failed,C1044,wallet,Mumbai
TXN100643,FuelPlus,fuel,37393.23,USD,2026-04-29,completed,C1089,card,Bengaluru
TXN100644,TechZone,electronics,25422.09,INR,2026-04-15,completed,C1070,UPI,Mumbai
TXN100645,PetCorner,pet,48228.87,INR,2026-03-03,completed,C1011,card,Delhi
TXN100646,ByteStore,tech,21774.52,INR,2026-03-11,completed,C1028,netbanking,Bengaluru
TXN100647,ByteStore,tech,1897.39,INR,2026-04-21,pending,C1078,netbanking,Hyderabad
TXN100648,QuickMart,retail,47286.34,INR,2026-03-25,completed,C1063,wallet,Bengaluru
TXN100649,TechZone,electronics,42529.88,INR,2026-05-08,completed,C1024,UPI,Hyderabad
TXN100650,TravelEasy,travel,25795.52,INR,2026-04-01,failed,C1021,UPI,Chennai
TXN100651,TechZone,electronics,32754.41,INR,2026-03-23,completed,C1035,wallet,Chennai
TXN100652,PetCorner,pet,20278.49,INR,2026-03-28,failed,C1001,UPI,Bengaluru
TXN100653,TravelEasy,travel,14231.84,INR,2026-05-13,failed,C1044,netbanking,Chennai
TXN100654,TechZone,electronics,30322.11,INR,2026-03-27,pending,C1051,UPI,Chennai
TXN100655,CafeBlend,food,20362.66,EUR,2026-03-16,failed,C1009,netbanking,Chennai
TXN100656,FuelPlus,fuel,40149.08,USD,2026-04-04,failed,C1073,netbanking,Delhi
TXN100657,PetCorner,pet,28162.8,INR,2026-04-03,completed,C1043,wallet,Delhi
TXN100658,ByteStore,tech,43102.54,INR,2026-05-03,completed,C1033,UPI,Delhi
TXN100659,TechZone,electronics,33848.88,INR,2026-04-01,completed,C1040,wallet,Chennai
TXN100660,TravelEasy,travel,26787.24,INR,2026-05-31,completed,C1033,card,Chennai
TXN100661,FuelPlus,fuel,19952.54,USD,2026-04-15,completed,C1070,card,Delhi
TXN100662,GroceryHub,grocery,17683.36,INR,2026-05-15,completed,C1023,card,Delhi
TXN100663,TechZone,electronics,11750.72,INR,2026-04-02,completed,C1033,card,Mumbai
TXN100664,TechZone,electronics,41748.67,INR,2026-05-21,completed,C1019,UPI,Bengaluru
TXN100665,FuelPlus,fuel,33793.85,USD,2026-05-26,pending,C1078,UPI,Hyderabad
TXN100666,QuickMart,retail,42402.05,INR,2026-04-19,failed,C1040,wallet,Hyderabad
TXN100667,MediPharm,pharmacy,24545.36,INR,2026-05-07,completed,C1050,card,Hyderabad
TXN100668,CafeBlend,food,2716.87,EUR,2026-04-26,pending,C1069,UPI,Hyderabad
TXN100669,GroceryHub,grocery,19691.91,INR,2026-05-29,completed,C1022,wallet,Bengaluru
TXN100670,TravelEasy,travel,23008.93,INR,2026-05-30,completed,C1001,card,Delhi
TXN100671,ByteStore,tech,5046.38,INR,2026-04-18,failed,C1033,card,Hyderabad
TXN100672,MediPharm,pharmacy,11864.59,INR,2026-05-02,failed,C1043,netbanking,Mumbai
TXN100673,AutoFix,automotive,21202.9,INR,2026-04-25,completed,C1096,netbanking,Chennai
TXN100674,PetCorner,pet,13988.68,INR,2026-03-26,failed,C1016,card,Bengaluru
TXN100675,MediPharm,pharmacy,40206.34,INR,2026-05-13,pending,C1048,card,Mumbai
TXN100676,CafeBlend,food,23654.62,EUR,2026-03-04,completed,C1053,wallet,Mumbai
TXN100677,TravelEasy,travel,26703.79,INR,2026-04-12,completed,C1062,netbanking,Chennai
TXN100678,TravelEasy,travel,42926.51,INR,2026-03-09,pending,C1012,card,Bengaluru
TXN100679,TechZone,electronics,40692.77,INR,2026-05-02,completed,C1080,UPI,Delhi
TXN100680,GroceryHub,grocery,12995.86,INR,2026-04-18,failed,C1071,netbanking,Chennai
TXN100681,QuickMart,retail,20593.93,INR,2026-04-16,completed,C1086,card,Hyderabad
TXN100682,ByteStore,tech,32496.78,INR,2026-05-10,completed,C1099,netbanking,Chennai
TXN100683,GroceryHub,grocery,33662.91,INR,2026-05-04,completed,C1094,wallet,Bengaluru
TXN100684,PetCorner,pet,30687.05,INR,2026-05-01,completed,C1018,card,Chennai
TXN100685,PetCorner,pet,31567.36,INR,2026-05-15,pending,C1009,UPI,Mumbai
TXN100686,GroceryHub,grocery,11418.61,INR,2026-04-12,completed,C1037,netbanking,Hyderabad
TXN100687,PetCorner,pet,13569.69,INR,2026-04-28,completed,C1046,wallet,Delhi
TXN100688,CafeBlend,food,9202.47,EUR,2026-03-05,completed,C1093,card,Chennai
TXN100689,FuelPlus,fuel,10536.47,USD,2026-04-22,completed,C1012,UPI,Delhi
TXN100690,TravelEasy,travel,2700.73,INR,2026-04-22,failed,C1097,UPI,Bengaluru
TXN100691,MediPharm,pharmacy,30908.93,INR,2026-03-13,completed,C1049,netbanking,Mumbai
TXN100692,TechZone,electronics,36882.29,INR,2026-04-28,completed,C1016,card,Hyderabad
TXN100693,CafeBlend,food,1438.28,EUR,2026-05-26,completed,C1041,wallet,Delhi
TXN100694,TravelEasy,travel,46743.53,INR,2026-05-12,pending,C1017,card,Hyderabad
TXN100695,ByteStore,tech,22832.61,INR,2026-05-23,failed,C1055,netbanking,Chennai
TXN100696,AutoFix,automotive,26988.01,INR,2026-03-14,pending,C1039,netbanking,Delhi
TXN100697,MediPharm,pharmacy,7794.32,INR,2026-03-04,completed,C1066,card,Chennai
TXN100698,MediPharm,pharmacy,23465.21,INR,2026-03-04,completed,C1062,wallet,Chennai
TXN100699,QuickMart,retail,38295.8,INR,2026-04-09,failed,C1029,UPI,Hyderabad
TXN100700,GroceryHub,grocery,9436.66,INR,2026-05-13,pending,C1050,card,Mumbai
